Character,Aliases
The Winter Soldier,"The Winter Soldier, James Barnes, Bucky, Bucky Barnes, Bucky Barnes / Winter Soldier, James Buchanan 'Bucky' Barnes"
Thomas Roberts,"Thomas Roberts"
Thor,"Thor, Thor Odinson, Young Thor"
Trevor Slattery,"Trevor Slattery, Mandarin"
Tyr,"Tyr"
Valkyrie,"Valkyrie, Scrapper 142, Brunnhilde"
Vision,"Vision, The Vision, JARVIS, Jarvis / Vision"
Volstagg,"Volstagg"
Vulture,"Vulture, Adrian Toomes, Adrian Toomes / Vulture, Toomes"
Ultron,"Ultron"
Ulysses Klaue,"Ulysses Klaue"
Uzman,"Uzman"
War Machine,"War Machine, James Rhodes, Rhodey, James Rhodes / War Machine, Lt. Col. James 'Rhodey' Rhodes, Lieutenant James Rhodes / War Machine, Colonel James Rhodes"
Wasp,"Wasp, The Wasp, Hope van Dyne, Hope, Hope van Dyne / The Wasp, Hope Van Dyne / Wasp"
Whiplash,"Whiplash, Ivan Vanko, Whiplash One"
W'Kabi,"W'Kabi"
Wong,"Wong"
Yellowjacket,"Yellowjacket, Darren Cross / Yellowjacket, DarrenCross"
Yinsen,"Yinsen, Ho Yinsen"
Yondu,"Yondu, Yondu Udonta"
Yon-Rogg,"Yon-Rogg"
Zemo,"Zemo, Helmut Zemo"
Zuri,"Zuri"
